This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19960711,18.409,3.026,0.429,1.55,0.988,-1.156,-2.81,-0.686,-0.119,-0.611,-0.484,0.666
19960712,-7.658,-1.606,-0.184,-0.35,0.257,0.295,1.303,0.38,0.053,0.146,-0.13,-0.171
19960715,30.984,16.049,9.682,1.996,3.545,1.979,-4.981,-3.772,-2.801,-0.833,-1.793,-1.153
19960716,4.03,7.448,6,3.369,5.068,2.096,-0.814,-2.005,-1.916,-1.469,-2.631,-1.28
19960717,-3.412,-4.382,-2.404,1.779,1.199,-0.704,0.728,1.282,0.819,-0.806,-0.657,0.44
19960718,-2.513,-3.901,-3.425,-1.833,-0.523,0.095,0.493,1.042,1.091,0.817,0.282,-0.058
19960719,-0.179,-3.803,-2.71,-1.204,-2.089,-1.31,0.031,0.946,0.809,0.511,1.09,0.769
19960722,9.953,4.75,4.738,4.104,1.362,-0.078,-1.725,-1.18,-1.411,-1.739,-0.711,0.047
19960723,5.04,3.663,0.997,1.726,0.237,0.084,-0.986,-0.986,-0.329,-0.768,-0.127,-0.051
19960724,-1.776,0.719,1.224,1.658,-0.263,-1.89,0.379,-0.207,-0.424,-0.763,0.144,1.171
19960725,-6.757,-3.325,-1.744,-0.468,2.926,3.843,1.396,0.969,0.614,0.219,-1.594,-2.34
19960726,-9.4,-3.729,-3.939,-2.501,-0.541,-0.14,1.754,1.022,1.306,1.152,0.298,0.088
19960729,10.962,5.255,1.068,0.615,-1.276,-1.181,-1.852,-1.348,-0.339,-0.272,0.696,0.732
