date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2000-12-22,gamma0,0.00014002146634900482,6m,1m,12m
2000-12-26,gamma0,0.00021789579120386822,6m,1m,12m
2000-12-27,gamma0,0.00018261084128775231,6m,1m,12m
2000-12-28,gamma0,0.00010261883667758465,6m,1m,12m
2000-12-29,gamma0,8.553097710257951e-05,6m,1m,12m
2001-01-02,gamma0,0.0001871442404841205,6m,1m,12m
2001-01-03,gamma0,0.00010079527270939403,6m,1m,12m
2001-01-04,gamma0,0.00012214923236957936,6m,1m,12m
2001-01-05,gamma0,0.00016065774337420486,6m,1m,12m
2001-01-08,gamma0,0.00020141087062093354,6m,1m,12m
2001-01-09,gamma0,0.00016631355022387237,6m,1m,12m
2001-01-10,gamma0,0.00011912615690771952,6m,1m,12m
2001-01-11,gamma0,0.00010301817123794407,6m,1m,12m
2001-01-12,gamma0,3.6956125792449634e-06,6m,1m,12m
2001-01-17,gamma0,4.801698195158928e-05,6m,1m,12m
2001-01-18,gamma0,1.4668819581114393e-05,6m,1m,12m
2001-01-19,gamma0,2.297887184399975e-05,6m,1m,12m
2001-01-22,gamma0,5.569682476627856e-06,6m,1m,12m
2001-01-23,gamma0,-4.248069055719672e-05,6m,1m,12m
2001-01-24,gamma0,-3.1936534553270172e-06,6m,1m,12m
2001-01-25,gamma0,3.5421787448955414e-06,6m,1m,12m
2001-01-26,gamma0,-1.6935995457758222e-05,6m,1m,12m
2001-01-29,gamma0,3.528603626168599e-05,6m,1m,12m
2001-01-30,gamma0,3.596650698720086e-05,6m,1m,12m
2001-01-31,gamma0,2.781817567852279e-05,6m,1m,12m
2001-02-01,gamma0,-5.4265177290773365e-06,6m,1m,12m
2001-02-02,gamma0,6.393295438274678e-07,6m,1m,12m
2001-02-05,gamma0,3.632645460291859e-05,6m,1m,12m
2001-02-06,gamma0,3.086634415911912e-05,6m,1m,12m
2001-02-07,gamma0,1.033070883494799e-05,6m,1m,12m
2001-02-08,gamma0,-3.612985080711136e-05,6m,1m,12m
2001-02-09,gamma0,-3.618302132505216e-05,6m,1m,12m
2001-02-14,gamma0,-3.0100134409119976e-05,6m,1m,12m
2001-02-15,gamma0,-8.162742459355499e-05,6m,1m,12m
2001-02-16,gamma0,-2.834597881911439e-05,6m,1m,12m
2001-02-20,gamma0,5.050852346294253e-05,6m,1m,12m
2001-02-21,gamma0,8.860837742916776e-05,6m,1m,12m
2001-02-22,gamma0,0.00010944151691052931,6m,1m,12m
2001-02-23,gamma0,0.00016304948776056291,6m,1m,12m
2001-02-26,gamma0,0.00010586352124490272,6m,1m,12m
2001-02-27,gamma0,0.00016959165015408614,6m,1m,12m
2001-02-28,gamma0,0.00024620948979551974,6m,1m,12m
2001-03-01,gamma0,0.00020840812119440335,6m,1m,12m
2001-03-02,gamma0,0.00020883237404858312,6m,1m,12m
2001-03-05,gamma0,0.0001878868961890312,6m,1m,12m
2001-03-06,gamma0,0.00011600171355605587,6m,1m,12m
2001-03-07,gamma0,0.0001091393402402551,6m,1m,12m
2001-03-08,gamma0,0.00011304659575798468,6m,1m,12m
2001-03-09,gamma0,0.00017331081676419475,6m,1m,12m
2001-03-21,gamma0,0.0003430756446194157,6m,1m,12m
2001-03-22,gamma0,0.000334462067951919,6m,1m,12m
2001-03-23,gamma0,0.0003173192532579722,6m,1m,12m
2001-03-26,gamma0,0.00021647516359941078,6m,1m,12m
2001-03-27,gamma0,0.00014438826189452724,6m,1m,12m
2001-03-28,gamma0,0.0002674140891007879,6m,1m,12m
2001-03-29,gamma0,0.000212333028364499,6m,1m,12m
2001-03-30,gamma0,0.00019101664889748798,6m,1m,12m
2001-04-02,gamma0,0.00027994473167924943,6m,1m,12m
2001-04-03,gamma0,0.0004639566641164666,6m,1m,12m
2001-04-04,gamma0,0.0004504204707478469,6m,1m,12m
2001-04-05,gamma0,0.0003105170246750362,6m,1m,12m
2001-04-06,gamma0,0.0003586737966924701,6m,1m,12m
2001-04-09,gamma0,0.0003562039865266879,6m,1m,12m
2001-04-10,gamma0,0.00031712238049201726,6m,1m,12m
2001-04-11,gamma0,0.0002500154396272446,6m,1m,12m
2001-04-12,gamma0,0.00010108096763633479,6m,1m,12m
2001-04-18,gamma0,0.00013914614163599589,6m,1m,12m
2001-04-19,gamma0,0.0001032358819682377,6m,1m,12m
2001-04-20,gamma0,0.00014083537930458667,6m,1m,12m
2001-04-23,gamma0,0.00022655207504797587,6m,1m,12m
2001-04-24,gamma0,0.0002245510411379983,6m,1m,12m
2001-04-25,gamma0,0.00019621286092267841,6m,1m,12m
2001-04-26,gamma0,0.0001500502120525111,6m,1m,12m
2001-04-27,gamma0,8.641665282760401e-05,6m,1m,12m
2001-04-30,gamma0,0.00013904208112403533,6m,1m,12m
2001-05-01,gamma0,9.245230081095888e-05,6m,1m,12m
2001-05-02,gamma0,9.998109071885145e-05,6m,1m,12m
2001-05-03,gamma0,0.0001386399546247686,6m,1m,12m
2001-05-04,gamma0,6.767308654206864e-05,6m,1m,12m
2001-05-07,gamma0,0.00012548945677824815,6m,1m,12m
2001-05-08,gamma0,9.915199136143083e-05,6m,1m,12m
2001-05-09,gamma0,8.902585057888767e-05,6m,1m,12m
2001-05-10,gamma0,6.530223518308456e-05,6m,1m,12m
2001-05-11,gamma0,5.872559641927075e-05,6m,1m,12m
2001-05-16,gamma0,2.6438006383642306e-05,6m,1m,12m
2001-05-17,gamma0,6.909849043076586e-07,6m,1m,12m
2001-05-18,gamma0,5.272252604030957e-08,6m,1m,12m
2001-05-21,gamma0,4.035684680274993e-05,6m,1m,12m
2001-05-22,gamma0,2.6351550821173563e-05,6m,1m,12m
2001-05-23,gamma0,4.591559836081141e-05,6m,1m,12m
2001-05-24,gamma0,-5.982494224872595e-05,6m,1m,12m
2001-05-25,gamma0,-6.120775942224486e-05,6m,1m,12m
