date,factor,long_maturity,short_maturity,spread,spread_label
2000-05-04,gamma0,12m,6m,-0.0025455410031184067,gamma0__12m__6m
2000-05-05,gamma0,6m,1m,-0.025471832395362992,gamma0__6m__1m
2000-05-05,gamma0,12m,1m,-0.022748191830814585,gamma0__12m__1m
2000-05-05,gamma0,12m,6m,0.0027236405645484074,gamma0__12m__6m
2000-05-08,gamma0,6m,1m,-0.031028098602334714,gamma0__6m__1m
2000-05-08,gamma0,12m,1m,-0.026166227334749353,gamma0__12m__1m
2000-05-08,gamma0,12m,6m,0.00486187126758536,gamma0__12m__6m
2000-05-09,gamma0,6m,1m,-0.03785016369447733,gamma0__6m__1m
2000-05-09,gamma0,12m,1m,-0.03556652167559038,gamma0__12m__1m
2000-05-09,gamma0,12m,6m,0.00228364201888695,gamma0__12m__6m
2000-05-10,gamma0,6m,1m,-0.03271652787033097,gamma0__6m__1m
2000-05-10,gamma0,12m,1m,-0.030710712646022986,gamma0__12m__1m
2000-05-10,gamma0,12m,6m,0.002005815224307983,gamma0__12m__6m
2000-05-11,gamma0,6m,1m,-0.024603456805286805,gamma0__6m__1m
2000-05-11,gamma0,12m,1m,-0.01800932707744593,gamma0__12m__1m
2000-05-11,gamma0,12m,6m,0.006594129727840875,gamma0__12m__6m
2000-05-12,gamma0,6m,1m,-0.014124149560544363,gamma0__6m__1m
2000-05-12,gamma0,12m,1m,-0.007784248809623917,gamma0__12m__1m
2000-05-12,gamma0,12m,6m,0.006339900750920446,gamma0__12m__6m
2000-05-15,gamma0,12m,6m,0.005301340577409108,gamma0__12m__6m
2000-05-16,gamma0,12m,6m,0.003522522496543584,gamma0__12m__6m
2000-05-17,gamma0,6m,1m,0.0003895404309360029,gamma0__6m__1m
2000-05-17,gamma0,12m,1m,0.003363717565638913,gamma0__12m__1m
2000-05-17,gamma0,12m,6m,0.00297417713470291,gamma0__12m__6m
2000-05-18,gamma0,6m,1m,-0.0008877572027314595,gamma0__6m__1m
2000-05-18,gamma0,12m,1m,0.0021742068623161193,gamma0__12m__1m
2000-05-18,gamma0,12m,6m,0.003061964065047579,gamma0__12m__6m
2000-05-19,gamma0,6m,1m,-0.006216736869460088,gamma0__6m__1m
2000-05-19,gamma0,12m,1m,-0.0009720133892793525,gamma0__12m__1m
2000-05-19,gamma0,12m,6m,0.005244723480180735,gamma0__12m__6m
2000-05-22,gamma0,6m,1m,-0.011806111547433051,gamma0__6m__1m
2000-05-22,gamma0,12m,1m,-0.007058097535127511,gamma0__12m__1m
2000-05-22,gamma0,12m,6m,0.00474801401230554,gamma0__12m__6m
2000-05-23,gamma0,6m,1m,-0.005828530426800926,gamma0__6m__1m
2000-05-23,gamma0,12m,1m,-0.001774848670744733,gamma0__12m__1m
2000-05-23,gamma0,12m,6m,0.004053681756056193,gamma0__12m__6m
2000-05-24,gamma0,6m,1m,0.0005668959347961133,gamma0__6m__1m
2000-05-24,gamma0,12m,1m,0.005783563577375389,gamma0__12m__1m
2000-05-24,gamma0,12m,6m,0.005216667642579276,gamma0__12m__6m
2000-05-25,gamma0,6m,1m,0.005987319122787715,gamma0__6m__1m
2000-05-25,gamma0,12m,1m,0.007916012570889946,gamma0__12m__1m
2000-05-25,gamma0,12m,6m,0.001928693448102231,gamma0__12m__6m
2000-05-26,gamma0,6m,1m,0.007573993777226035,gamma0__6m__1m
2000-05-26,gamma0,12m,1m,0.009463984854183871,gamma0__12m__1m
2000-05-26,gamma0,12m,6m,0.0018899910769578365,gamma0__12m__6m
2000-05-30,gamma0,6m,1m,0.0035537421293468097,gamma0__6m__1m
2000-05-30,gamma0,12m,1m,0.009777646220187425,gamma0__12m__1m
2000-05-30,gamma0,12m,6m,0.006223904090840615,gamma0__12m__6m
2000-05-31,gamma0,6m,1m,0.005303458862931709,gamma0__6m__1m
2000-05-31,gamma0,12m,1m,0.011681404191635325,gamma0__12m__1m
2000-05-31,gamma0,12m,6m,0.006377945328703616,gamma0__12m__6m
2000-06-01,gamma0,6m,1m,0.01246580416484594,gamma0__6m__1m
2000-06-01,gamma0,12m,1m,0.019258377725736464,gamma0__12m__1m
2000-06-01,gamma0,12m,6m,0.006792573560890525,gamma0__12m__6m
2000-06-02,gamma0,6m,1m,0.01169106071131748,gamma0__6m__1m
2000-06-02,gamma0,12m,1m,0.01853325701847064,gamma0__12m__1m
2000-06-02,gamma0,12m,6m,0.006842196307153159,gamma0__12m__6m
2000-06-05,gamma0,6m,1m,0.003466545367041274,gamma0__6m__1m
2000-06-05,gamma0,12m,1m,0.009674415521607999,gamma0__12m__1m
2000-06-05,gamma0,12m,6m,0.006207870154566725,gamma0__12m__6m
2000-06-06,gamma0,6m,1m,0.004597123356281985,gamma0__6m__1m
2000-06-06,gamma0,12m,1m,0.007699454755079549,gamma0__12m__1m
2000-06-06,gamma0,12m,6m,0.0031023313987975643,gamma0__12m__6m
