asset,maturity,horizon,predictor,is_alpha,is_beta1,is_beta2,is_beta3,is_t_alpha,is_t_beta1,is_t_beta2,is_t_beta3,is_p_alpha,is_p_beta1,is_p_beta2,is_p_beta3,is_r_squared,is_n_obs,is_contango_intercept,is_contango_slope,is_backwardation_intercept,is_backwardation_slope,y_benchmark_in_sample,n_out_of_sample,r2_out_of_sample,clark-west_statistic,clark-west_p_value,directional_accuracy,directional_accuracy_n_correct,directional_accuracy_n_total,directional_accuracy_p_value,error present,N_is,N_obs
straddle,4m,weekly,gamma0__6m__1m,-0.0023679563257393258,-0.2539645159036531,-0.00674885398809084,-0.12890373389706278,-0.8128604609400424,-2.1169873940249864,-1.2807364250815574,-0.6464377028073867,0.41629806607019104,0.034260917675405685,0.20028626104590286,0.5179959298836064,0.025891961269606578,3224.0,-0.0023679563257393258,-0.2539645159036531,-0.009116810313830166,-0.3828682498007159,-0.004865506304180507,2307.0,0.013684133749629401,1.3989917840947423,0.08090772340912722,0.5714285714285714,264.0,462.0,0.001228660117142247,,,
straddle,4m,weekly,gamma1__12m__1m,0.010938932752402288,-0.554568632638593,-0.012440434972956887,0.8227133705565622,1.24656632140049,-0.38538992403252825,-1.4082588711167598,0.5613569122321682,0.21255655705262433,0.6999485466183126,0.15905442956513138,0.5745542511330426,0.006017707889168666,3224.0,0.010938932752402288,-0.554568632638593,-0.001501502220554599,0.2681447379179692,-0.004865506304180507,2307.0,0.0026994760206283663,1.60167522770751,0.054613722937861583,0.5606060606060606,259.0,462.0,0.0052124940327070565,,,
straddle,4m,weekly,gamma1__12m__6m,-0.0014054159578313465,-0.24225418919177244,-0.006723418679472788,0.023576157070292605,-0.4799076440233809,-0.47686337474147233,-2.0943350712155158,0.03467221450800285,0.631293065595782,0.633459413813616,0.03623014224497247,0.9723411172113097,0.002502724702473147,3555.0,-0.0014054159578313465,-0.24225418919177244,-0.008128834637304135,-0.21867803212147985,-0.00576793651818163,2307.0,0.005970936389162462,2.6571349816899406,0.003940394090532795,0.5757575757575758,266.0,462.0,0.0006508562805111784,,,
straddle,4m,weekly,gamma1__6m__1m,0.007076480713372988,1.0823333024077717,-0.008501506516008546,-0.7248389916542188,0.9567882457587908,0.617519461313821,-1.1393687298951765,-0.4036891149796637,0.338674146242115,0.536892148809871,0.2545493927243496,0.6864413449669315,0.008054850435690986,3224.0,0.007076480713372988,1.0823333024077717,-0.0014250258026355577,0.35749431075355287,-0.004865506304180507,2307.0,-0.010718451606126944,0.5182489400280947,0.30214229643226,0.5476190476190477,253.0,462.0,0.02266243009985787,,,
straddle,4m,weekly,gamma2__12m__1m,0.002451678949535617,0.7458753959996494,-0.006174232776775657,-0.0263595614414808,0.4739366413676032,1.0704150747138785,-1.0381210765528168,-0.024221765263017076,0.6355450891369578,0.2844325168237605,0.2992136901753609,0.980675717052916,0.011721326175691105,3224.0,0.002451678949535617,0.7458753959996494,-0.00372255382724004,0.7195158345581686,-0.004865506304180507,2307.0,0.0033806142234954484,1.139822535509979,0.1271801215379963,0.564935064935065,261.0,462.0,0.002996333418231355,,,
straddle,4m,weekly,gamma2__12m__6m,-0.0037814416826909797,0.6674368113244811,-0.0040815751880808404,-0.8445789816009285,-1.5638011059606316,1.0318226909545762,-1.4374052278400749,-0.8850360764005611,0.11786428449775224,0.30215518739827363,0.15060288420721774,0.3761371741237868,0.004800099971931315,3555.0,-0.0037814416826909797,0.6674368113244811,-0.00786301687077182,-0.1771421702764474,-0.00576793651818163,2307.0,0.009438303304277085,1.767353553916749,0.038584518110040794,0.5800865800865801,268.0,462.0,0.0003335205753545884,,,
straddle,4m,weekly,gamma2__6m__1m,-0.006526809465016064,2.1178567236735653,0.0031984614892434085,-1.1611083257445363,-1.3210105921340496,1.7196209897425667,0.5955173203589432,-0.7061130081116901,0.18649783247146745,0.08550135823649822,0.5514977249380144,0.4801178628565008,0.009645079726628092,3224.0,-0.006526809465016064,2.1178567236735653,-0.003328347975772655,0.956748397929029,-0.004865506304180507,2307.0,-0.004066310970348486,-0.811321526415467,0.7914094744213606,0.5714285714285714,264.0,462.0,0.001228660117142247,,,
straddle,4m,weekly,hump_gamma0,-0.010679271670774862,86.28717636048971,0.010824977021284626,-1.7729544201102367,-2.501051549916796,3.1305734730009287,2.3105196325661526,-0.04745718754610604,0.012382515305160914,0.00174465350928429,0.020859402896889107,0.9621488512535346,0.03498388304123479,3224.0,-0.010679271670774862,86.28717636048971,0.00014570535050976476,84.51422194037947,-0.004865506304180507,2307.0,-0.010960775686521096,1.1572602017859517,0.12358303411997468,0.5757575757575758,266.0,462.0,0.0006508562805111784,,,
straddle,4m,weekly,hump_gamma1,-0.0028344681158308637,-33.118810819411664,-0.004909885711425808,-134.41580701756678,-1.119502910709107,-1.1518737686788,-1.211386133487281,-1.2804463800178454,0.26292564983662114,0.24937294876865834,0.2257474512847899,0.20038819119668738,0.004064787930184721,3224.0,-0.0028344681158308637,-33.118810819411664,-0.007744353827256672,-167.53461783697844,-0.004865506304180507,2307.0,-0.009547508344165623,-0.8465051335382664,0.8013644943575942,0.5476190476190477,253.0,462.0,0.02266243009985787,,,
straddle,4m,weekly,hump_gamma2,-0.005905162479938868,39.3608766489205,0.000345760325811824,-80.77244969209409,-2.947296167250429,0.579282669395676,0.0886876088373642,-0.6645444689114803,0.0032056601472815866,0.5623984573855492,0.9293301804433358,0.506341897344905,0.0009106810108291397,3224.0,-0.005905162479938868,39.3608766489205,-0.005559402154127044,-41.41157304317358,-0.004865506304180507,2307.0,0.002561949333785729,1.002418195385568,0.15807082892363616,0.5800865800865801,268.0,462.0,0.0003335205753545884,,,
straddle,4m,monthly,gamma0__12m__1m,-0.014281699073948852,-0.7930540340569918,-0.022898989443432098,0.18656371545413186,-0.8273586355767423,-1.751009667232773,-1.0912705608193591,0.2597732844728212,0.4080338184215918,0.0799442448217197,0.27515384760282746,0.7950386595660884,0.03267389623710215,2160.0,-0.014281699073948852,-0.7930540340569918,-0.03718068851738095,-0.60649031860286,-0.031026210835653358,2084.0,0.006604889398097558,0.7315168483396672,0.23223175862102918,0.57,57.0,100.0,0.09667395224782122,,,
straddle,4m,monthly,gamma0__12m__6m,-0.0220395881267877,-1.3106595573780262,-0.01879485215385096,-0.4812835477645911,-1.5175158909929642,-1.0552766316044146,-0.8401981387917214,-0.20986165612556376,0.12913648447666143,0.2912988254311726,0.4007973017982709,0.8337756497498653,0.011955824358456657,2453.0,-0.0220395881267877,-1.3106595573780262,-0.040834440280638665,-1.7919431051426173,-0.03103884133961675,2084.0,0.004504920939132906,0.6751181490027734,0.24980035190733835,0.55,55.0,100.0,0.18410080866334802,,,
straddle,4m,monthly,gamma0__6m__1m,-0.009818376048135792,-1.3971906188868188,-0.02823575821476922,0.5184145169573525,-0.6064234575773857,-2.366661207277718,-1.4150904265346715,0.5499871929429777,0.5442335955349691,0.017949355332489494,0.1570419847642618,0.5823281578106434,0.04411881194287315,2160.0,-0.009818376048135792,-1.3971906188868188,-0.038054134262905014,-0.8787761019294663,-0.031026210835653358,2084.0,-0.012673040779362044,0.46666957435091716,0.3203681505807341,0.57,57.0,100.0,0.09667395224782122,,,
