This file contains the synthetic VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The dates are in YYYYMMDD format,,,,,,
r_K^{var. swap} gives the daily return of a constant-maturity variance swap with target maturity K months,,,,,,
Returns are in percent,,,,,,
,,,,,,
Date,r_1^{var. swap},r_2^{var. swap},r_3^{var. swap},r_6^{var. swap},r_9^{var. swap},r_12^{var. swap}
19970210,4.233,1.485,1.577,1.664,1.407,2.091
19970211,-7.501,-2.292,-2.095,-1.797,-1.075,-0.847
19970212,8.204,-0.568,-1.608,-2.042,-1.624,-1.08
19970213,-1.688,-2.143,-2.002,-0.777,-0.726,-1.172
19970214,-9.143,-2,-1.038,0.517,0.859,1.289
19970218,-6.53,-1.614,-0.534,-0.766,-1.686,-1.776
19970219,7.436,6.925,6.344,5.126,5.848,4.369
19970220,5.568,10.845,7.55,4.601,4.278,3.892
19970221,-11.928,-5.952,-4.917,-0.825,-0.969,-1.052
19970224,-8.253,-4.993,-4.519,-3.606,-3.544,-1.203
19970225,-6.185,-5.656,-2.192,-1.289,0.465,-0.094
19970226,12.684,15.337,13.407,7.03,3.697,3.378
19970227,5.491,5.506,6.472,1.968,2.418,3.112
19970228,-5.849,-3.987,-4.124,-1.888,-1.231,-1.132
19970303,-12.244,-3.977,-2.567,-1.51,-1.411,-1.344
19970304,-5.935,-3.466,-3.773,-1.332,-1.558,-1.503
19970305,-5.524,-4.457,-1.868,-2.135,-1.543,-2.664
19970306,7.46,2.92,2.43,0.62,1.175,0.692
19970307,-14.92,-4.991,-4.769,-1.615,-0.626,-0.43
19970310,-6.654,-5.751,-4.098,-1.333,-1.406,-0.183
19970311,-1.906,-0.34,-0.628,0.473,1.05,0.767
19970312,-0.023,2.922,1.983,2.695,1.767,2.027
19970313,12.637,9.409,7.637,5.138,4.967,3.127
19970314,-12.928,-2.769,-1.64,-3.509,-2.794,-1.757
19970317,-2.713,-4.219,-1.622,-1.108,0.937,0.593
19970318,2.609,3.971,0.818,2.142,-0.154,0.289
19970319,0.195,2.306,1.871,1.881,2.21,1.311
19970320,-7.667,-3.151,-2.732,0.402,0.182,0.144
19970321,-15.635,-13.941,-13.61,-9.053,-5.652,-3.354
19970324,-3.831,-2.676,-0.896,-1.984,-4.9,-4.359
19970325,-6.984,-3.873,-1.736,-0.038,0.787,0.745
19970326,-13.423,-8.823,-9.759,-5.387,-4.883,-1.651
19970327,44.054,28.132,18.33,8.705,8.998,1.836
19970331,17.954,9.127,6.8,4.753,-1.128,-0.849
19970401,-12.218,-4.094,-4.082,-3.233,-1.797,0.037
19970402,5.119,2.95,0.903,2.226,3.124,1.066
19970403,-3.733,-1.979,-4.723,-2.729,-2.663,-3.468
19970404,-12.247,-9.853,-8.198,-6.11,-4.47,-2.836
19970407,-14.289,-8.094,-7.769,-4.167,-3.201,-2.139
19970408,-1.89,0.132,0.866,-0.725,0.014,0.673
19970409,-1.607,0.792,0.457,1.355,1.125,0.807
19970410,-0.974,0.171,0.09,0.084,-0.211,-0.07
19970411,56.239,24.502,6.551,9.932,7.164,2.338
19970414,-5.716,-5.614,-1.895,-3.488,-2.483,-0.338
19970415,2.913,-1.622,-6.308,-2.952,-4.149,-2.105
19970416,-3.124,-3.884,-4.669,-0.693,-0.522,-0.372
19970417,7.786,4.481,1.066,2.197,0.98,1.271
19970418,0.292,-0.358,-1.03,-1.562,-0.243,-0.788
19970421,1.66,2.858,4.095,1.838,-0.123,-0.523
19970422,13.97,9.12,5.714,0.417,-0.237,1.443
19970423,3.4,3.555,3.948,5.778,4.954,3.338
19970424,-1.684,3.353,0.167,0.506,1.466,4.265
19970425,1.992,1.696,2.358,2.695,1.644,0.722
19970428,-5.109,-2.207,-3.609,-2.657,-0.983,-0.116
19970429,20.397,5.616,14.314,2.85,2.191,1.877
19970430,0.01,1.089,0.424,0.534,-0.268,-1.498
19970501,-6.672,-4.144,-1.274,-1.405,-1.538,-0.708
19970502,-4.317,-9.38,-12.599,-4.163,-2.226,-2.864
19970505,61.321,13.351,-24.118,9.34,5.254,3.077
19970506,0.634,10.799,4.02,2.934,2.843,4.685
19970507,17.342,5.999,3.519,4.559,3.75,2.446
19970508,-4.571,1.395,1.031,-0.728,-0.871,-0.92
19970509,-7.577,-3.561,-2.533,-1.303,-0.238,-0.339
19970512,3.706,-0.294,-1.487,1.405,0.552,-1.684
19970513,3.845,2.278,1.83,1.748,1.255,0.95
19970514,-0.571,1.321,2.095,2.62,2.865,1.408
19970515,-9.374,-7.754,-8.194,-7.638,-5.919,-1.986
19970516,16.863,7.4,8.233,7.79,3.795,1.039
19970519,-9.306,-2.244,-2.343,-2.453,-0.454,0.64
19970520,-18.412,-7.327,-6.773,-5.153,-4.07,-2.492
19970521,-6.032,-3.528,-1.801,0.059,-0.806,-1.215
19970522,-7.232,-3.102,-0.276,-1.449,-1.69,-0.776
